Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack				Resistances				Misc
#	Picture	Name	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Fire	Elec	Cold	Pois	Phys	Mag	Special
																																
	A		0																													
1	ArcherA	_(TRANS)_	9	 35 	14	 171 	5%3D20+L1Bow	0	N	Short	Normal	4	140	90	0	0	Phys	1D6+1	Arrow	0	0	0	0	0	0	10	10	10	10	0	0	0
2	ArcherB	_(TRANS)_	19	 93 	16	 551 	5%6D20+L2Bow	0	N	Short	Aggress	4	150	90	A	0	Phys	2D6+2	Arrow	20	Fire	3D6	FireAr	0	0	20	20	20	20	0	0	0
3	ArcherC	_(TRANS)_	29	 171 	22	" 1,131 "	10%10D20+L3Bow	0	N	Short	Aggress	4	160	80	A	0	Phys	3D6+3	Arrow	30	Fire	4D6	FireAr	40	"Fireball,N,5"	30	30	30	30	0	10	0
4	BarbarianA	_(TRANS)_	14	 61 	16	 336 	5%5D10+L2Misc	0	N	Long	Aggress	4	260	80	0	0	Phys	3D7+3	0	0	0	0	0	0	0	20	20	20	20	10	0	0
5	BarbarianB	_(TRANS)_	25	 137 	22	 875 	5%10D10+L3Misc	0	N	Med	Aggress	4	280	70	S	0	Phys	3D7+6	0	10	Phys	3D7+18	0	0	0	30	30	30	30	20	0	0
6	BarbarianC	_(TRANS)_	37	 247 	28	" 1,739 "	10%20D10+L4Misc	0	N	Med	Suicidal	4	300	60	S	0	Phys	3D7+12	0	20	Elec	7D8	Elec	0	0	50	50	50	50	30	0	0
7	BatA	_(TRANS)_	3	 9 	5	 39 	0	0	Y	Free	Normal	4	280	50	0	Disease1	Phys	1D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	BatB	_(TRANS)_	6	 21 	8	 96 	5%L1Ring	0	Y	Free	Normal	4	300	50	0	Disease1	Phys	1D3+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	BatC	_(TRANS)_	9	 35 	10	 171 	5%L2Ring	0	Y	Free	Aggress	4	320	50	0	Disease2	Phys	2D3+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
