Regional News			
#	Map	Topic	News Text
1	40	_(TRANS)_	_(TRANS)_
2	40	_(TRANS)_	_(TRANS)_
3	40	_(TRANS)_	_(TRANS)_
4	40	_(TRANS)_	_(TRANS)_
5	40	_(TRANS)_	_(TRANS)_
6	40	_(TRANS)_	_(TRANS)_
7	40	_(TRANS)_	_(TRANS)_
8	40	_(TRANS)_	_(TRANS)_
9	40	_(TRANS)_	_(TRANS)_
10	40	_(TRANS)_	_(TRANS)_
11	40	_(TRANS)_	_(TRANS)_
12	40	_(TRANS)_	_(TRANS)_
13	40	_(TRANS)_	_(TRANS)_
14	40	_(TRANS)_	_(TRANS)_
15	40	_(TRANS)_	_(TRANS)_
16	40	_(TRANS)_	_(TRANS)_
17	40	_(TRANS)_	_(TRANS)_
18	40	_(TRANS)_	_(TRANS)_
19	40	_(TRANS)_	_(TRANS)_
20	40	_(TRANS)_	_(TRANS)_
21	40	_(TRANS)_	_(TRANS)_
22	40	_(TRANS)_	_(TRANS)_
23	40	_(TRANS)_	_(TRANS)_
24	40	_(TRANS)_	_(TRANS)_
25	40	_(TRANS)_	_(TRANS)_
26	40	_(TRANS)_	_(TRANS)_
27	40	_(TRANS)_	_(TRANS)_
28	40	_(TRANS)_	_(TRANS)_
29	40	_(TRANS)_	_(TRANS)_
30	40	_(TRANS)_	_(TRANS)_
31	39	_(TRANS)_	_(TRANS)_
32	39	_(TRANS)_	_(TRANS)_
33	39	_(TRANS)_	_(TRANS)_
34	39	_(TRANS)_	_(TRANS)_
35	39	_(TRANS)_	_(TRANS)_
36	39	_(TRANS)_	_(TRANS)_
37	39	_(TRANS)_	_(TRANS)_
38	39	_(TRANS)_	_(TRANS)_
39	39	_(TRANS)_	_(TRANS)_
40	39	_(TRANS)_	_(TRANS)_
41	39	_(TRANS)_	_(TRANS)_
42	39	_(TRANS)_	_(TRANS)_
43	39	_(TRANS)_	_(TRANS)_
44	39	_(TRANS)_	_(TRANS)_
45	39	_(TRANS)_	_(TRANS)_
46	39	_(TRANS)_	_(TRANS)_
47	39	_(TRANS)_	_(TRANS)_
48	39	_(TRANS)_	_(TRANS)_
49	39	_(TRANS)_	_(TRANS)_
50	39	_(TRANS)_	_(TRANS)_
51	39	_(TRANS)_	_(TRANS)_
52	39	_(TRANS)_	_(TRANS)_
53	39	_(TRANS)_	_(TRANS)_
54	39	_(TRANS)_	_(TRANS)_
55	39	_(TRANS)_	_(TRANS)_
56	39	_(TRANS)_	_(TRANS)_
57	39	_(TRANS)_	_(TRANS)_
58	39	_(TRANS)_	_(TRANS)_
59	39	_(TRANS)_	_(TRANS)_
60	38	_(TRANS)_	_(TRANS)_
61	38	_(TRANS)_	_(TRANS)_
62	38	_(TRANS)_	_(TRANS)_
63	38	_(TRANS)_	_(TRANS)_
64	38	_(TRANS)_	_(TRANS)_
65	37	_(TRANS)_	_(TRANS)_
66	37	_(TRANS)_	_(TRANS)_
67	37	_(TRANS)_	_(TRANS)_
68	37	_(TRANS)_	_(TRANS)_
69	37	_(TRANS)_	_(TRANS)_
70	37	_(TRANS)_	_(TRANS)_
71	37	_(TRANS)_	_(TRANS)_
72	37	_(TRANS)_	_(TRANS)_
73	37	_(TRANS)_	_(TRANS)_
74	37	_(TRANS)_	_(TRANS)_
75	37	_(TRANS)_	_(TRANS)_
76	37	_(TRANS)_	_(TRANS)_
77	37	_(TRANS)_	_(TRANS)_
78	37	_(TRANS)_	_(TRANS)_
79	37	_(TRANS)_	_(TRANS)_
80	37	_(TRANS)_	_(TRANS)_
81	37	_(TRANS)_	_(TRANS)_
82	37	_(TRANS)_	_(TRANS)_
83	37	_(TRANS)_	_(TRANS)_
84	37	_(TRANS)_	_(TRANS)_
85	37	_(TRANS)_	_(TRANS)_
86	37	_(TRANS)_	_(TRANS)_
87	37	_(TRANS)_	_(TRANS)_
88	37	_(TRANS)_	_(TRANS)_
89	37	_(TRANS)_	_(TRANS)_
90	37	_(TRANS)_	_(TRANS)_
91	37	_(TRANS)_	_(TRANS)_
92	37	_(TRANS)_	_(TRANS)_
93	37	_(TRANS)_	_(TRANS)_
94	37	_(TRANS)_	_(TRANS)_
95	37	_(TRANS)_	_(TRANS)_
96	37	_(TRANS)_	_(TRANS)_
97	37	_(TRANS)_	_(TRANS)_
98	37	_(TRANS)_	_(TRANS)_
99	36	_(TRANS)_	_(TRANS)_
100	36	_(TRANS)_	_(TRANS)_
101	36	_(TRANS)_	_(TRANS)_
102	36	_(TRANS)_	_(TRANS)_
103	36	_(TRANS)_	_(TRANS)_
104	36	_(TRANS)_	_(TRANS)_
105	36	_(TRANS)_	_(TRANS)_
106	36	_(TRANS)_	_(TRANS)_
107	36	_(TRANS)_	_(TRANS)_
108	36	_(TRANS)_	_(TRANS)_
109	36	_(TRANS)_	_(TRANS)_
110	35	_(TRANS)_	_(TRANS)_
111	35	_(TRANS)_	_(TRANS)_
112	35	_(TRANS)_	_(TRANS)_
113	35	_(TRANS)_	_(TRANS)_
114	35	_(TRANS)_	_(TRANS)_
115	35	_(TRANS)_	_(TRANS)_
116	35	_(TRANS)_	_(TRANS)_
117	35	_(TRANS)_	_(TRANS)_
118	35	_(TRANS)_	_(TRANS)_
119	35	_(TRANS)_	_(TRANS)_
120	35	_(TRANS)_	_(TRANS)_
121	35	_(TRANS)_	_(TRANS)_
122	35	_(TRANS)_	_(TRANS)_
123	35	_(TRANS)_	_(TRANS)_
124	35	_(TRANS)_	_(TRANS)_
125	35	_(TRANS)_	_(TRANS)_
126	35	_(TRANS)_	_(TRANS)_
127	35	_(TRANS)_	_(TRANS)_
128	35	_(TRANS)_	_(TRANS)_
129	35	_(TRANS)_	_(TRANS)_
130	35	_(TRANS)_	_(TRANS)_
131	35	_(TRANS)_	_(TRANS)_
132	35	_(TRANS)_	_(TRANS)_
133	35	_(TRANS)_	_(TRANS)_
134	35	_(TRANS)_	_(TRANS)_
135	34	_(TRANS)_	_(TRANS)_
136	34	_(TRANS)_	_(TRANS)_
137	34	_(TRANS)_	_(TRANS)_
138	34	_(TRANS)_	_(TRANS)_
139	34	_(TRANS)_	_(TRANS)_
140	34	_(TRANS)_	_(TRANS)_
141	34	_(TRANS)_	_(TRANS)_
142	34	_(TRANS)_	_(TRANS)_
143	34	_(TRANS)_	_(TRANS)_
144	34	_(TRANS)_	_(TRANS)_
145	34	_(TRANS)_	_(TRANS)_
146	34	_(TRANS)_	_(TRANS)_
147	34	_(TRANS)_	_(TRANS)_
148	33	_(TRANS)_	_(TRANS)_
149	33	_(TRANS)_	_(TRANS)_
150	33	_(TRANS)_	_(TRANS)_
151	33	_(TRANS)_	_(TRANS)_
152	33	_(TRANS)_	_(TRANS)_
153	33	_(TRANS)_	_(TRANS)_
154	33	_(TRANS)_	_(TRANS)_
155	33	_(TRANS)_	_(TRANS)_
156	33	_(TRANS)_	_(TRANS)_
157	33	_(TRANS)_	_(TRANS)_
158	33	_(TRANS)_	_(TRANS)_
159	33	_(TRANS)_	_(TRANS)_
160	33	_(TRANS)_	_(TRANS)_
161	33	_(TRANS)_	_(TRANS)_
162	33	_(TRANS)_	_(TRANS)_
163	33	_(TRANS)_	_(TRANS)_
164	33	_(TRANS)_	_(TRANS)_
165	33	_(TRANS)_	_(TRANS)_
166	33	_(TRANS)_	_(TRANS)_
167	33	_(TRANS)_	_(TRANS)_
168	33	_(TRANS)_	_(TRANS)_
169	33	_(TRANS)_	_(TRANS)_
170	33	_(TRANS)_	_(TRANS)_
171	33	_(TRANS)_	_(TRANS)_
172	33	_(TRANS)_	_(TRANS)_
173	33	_(TRANS)_	_(TRANS)_
174	33	_(TRANS)_	_(TRANS)_
175	33	_(TRANS)_	_(TRANS)_
176	33	_(TRANS)_	_(TRANS)_
177	33	_(TRANS)_	_(TRANS)_
178	33	_(TRANS)_	_(TRANS)_
179	33	_(TRANS)_	_(TRANS)_
180	33	_(TRANS)_	_(TRANS)_
181	33	_(TRANS)_	_(TRANS)_
182	33	_(TRANS)_	_(TRANS)_
183	33	_(TRANS)_	_(TRANS)_
184	33	_(TRANS)_	_(TRANS)_
185	33	_(TRANS)_	_(TRANS)_
186	33	_(TRANS)_	_(TRANS)_
187	33	_(TRANS)_	_(TRANS)_
188	33	_(TRANS)_	_(TRANS)_
189	33	_(TRANS)_	_(TRANS)_
190	32	_(TRANS)_	_(TRANS)_
191	32	_(TRANS)_	_(TRANS)_
192	32	_(TRANS)_	_(TRANS)_
193	32	_(TRANS)_	_(TRANS)_
194	32	_(TRANS)_	_(TRANS)_
195	32	_(TRANS)_	_(TRANS)_
196	32	_(TRANS)_	_(TRANS)_
197	32	_(TRANS)_	_(TRANS)_
198	32	_(TRANS)_	_(TRANS)_
199	32	_(TRANS)_	_(TRANS)_
200	32	_(TRANS)_	_(TRANS)_
201	32	_(TRANS)_	_(TRANS)_
202	32	_(TRANS)_	_(TRANS)_
203	32	_(TRANS)_	_(TRANS)_
204	32	_(TRANS)_	_(TRANS)_
205	32	_(TRANS)_	_(TRANS)_
206	32	_(TRANS)_	_(TRANS)_
207	32	_(TRANS)_	_(TRANS)_
208	32	_(TRANS)_	_(TRANS)_
209	32	_(TRANS)_	_(TRANS)_
210	32	_(TRANS)_	_(TRANS)_
211	32	_(TRANS)_	_(TRANS)_
212	32	_(TRANS)_	_(TRANS)_
213	31	_(TRANS)_	_(TRANS)_
214	31	_(TRANS)_	_(TRANS)_
215	31	_(TRANS)_	_(TRANS)_
216	31	_(TRANS)_	_(TRANS)_
217	31	_(TRANS)_	_(TRANS)_
218	30	_(TRANS)_	_(TRANS)_
219	30	_(TRANS)_	_(TRANS)_
220	30	_(TRANS)_	_(TRANS)_
221	30	_(TRANS)_	_(TRANS)_
222	30	_(TRANS)_	_(TRANS)_
223	30	_(TRANS)_	_(TRANS)_
224	30	_(TRANS)_	_(TRANS)_
225	30	_(TRANS)_	_(TRANS)_
226	30	_(TRANS)_	_(TRANS)_
227	30	_(TRANS)_	_(TRANS)_
228	30	_(TRANS)_	_(TRANS)_
229	30	_(TRANS)_	_(TRANS)_
230	30	_(TRANS)_	_(TRANS)_
231	30	_(TRANS)_	_(TRANS)_
232	30	_(TRANS)_	_(TRANS)_
233	30	_(TRANS)_	_(TRANS)_
234	29	_(TRANS)_	_(TRANS)_
235	29	_(TRANS)_	_(TRANS)_
236	29	_(TRANS)_	_(TRANS)_
237	29	_(TRANS)_	_(TRANS)_
238	29	_(TRANS)_	_(TRANS)_
239	29	_(TRANS)_	_(TRANS)_
240	29	_(TRANS)_	_(TRANS)_
241	29	_(TRANS)_	_(TRANS)_
242	29	_(TRANS)_	_(TRANS)_
243	29	_(TRANS)_	_(TRANS)_
244	29	_(TRANS)_	_(TRANS)_
245	28	_(TRANS)_	_(TRANS)_
246	28	_(TRANS)_	_(TRANS)_
247	28	_(TRANS)_	_(TRANS)_
248	28	_(TRANS)_	_(TRANS)_
249	28	_(TRANS)_	_(TRANS)_
250	27	_(TRANS)_	_(TRANS)_
251	27	_(TRANS)_	_(TRANS)_
252	27	_(TRANS)_	_(TRANS)_
253	27	_(TRANS)_	_(TRANS)_
