NPC Data (Special)	Unter		BTB check			Current	Profession	Join	News	Event	Event	Event	
#	Name	Pic	State	Fame	Rep	2D Location	 1 - 76	Y / N	Y / N	# A	# B	# C	Notes
1	_(TRANS)_	81	0	0	0	92	74	0	0	1	296	0	gives money for the sixth letter and retrieve candelabra quest
2	_(TRANS)_	126	0	0	0	92	48	0	1	8	0	0	gives clue for marketing promotion.
3	_(TRANS)_	187	0	0	0	89	0	0	1	324	326	0	Gives the save the mom quest and takes letter from d6
4	_(TRANS)_	553	0	0	0	154	0	0	0	9	13	0	Council Quest and Promotion Quest.
5	_(TRANS)_	527	0	0	0	156	0	0	0	51	55	0	Council Quest and Promotion Quest.
6	_(TRANS)_	524	0	0	0	158	0	0	0	61	65	0	Council Quest and Promotion Quest.
7	_(TRANS)_	39	0	0	0	106	0	0	1	0	0	0	Gives nomination for Cavalier Quest - is supposed to be in Free Haven inn
8	_(TRANS)_	523	0	0	0	170	0	0	0	73	74	0	Return the crystals and pyramid quests
9	_(TRANS)_	522	0	0	0	169	0	0	0	41	45	46	"Seer quest, item return, and hint"
10	_(TRANS)_	11	0	0	0	249	42	0	1	0	0	396	Divine Intervention quest
11	_(TRANS)_	164	0	0	0	-1	0	0	0	31	0	0	The damsel in distress for the paladin quest
12	_(TRANS)_	554	0	0	0	553	0	0	0	30	0	0	Need picture from heroes 2
13	_(TRANS)_	526	0	0	0	154	0	0	0	18	25	0	Need a new picture
14	_(TRANS)_	528	0	0	0	162	0	0	0	79	82	0	
15	_(TRANS)_	529	0	0	0	164	0	0	0	87	91	0	
16	_(TRANS)_	525	0	0	0	160	0	0	0	32	35	0	
17	_(TRANS)_	396	0	0	0	-1	0	0	0	98	0	0	
18		0	0	0	0	0	0	0	0	0	0	0	removed
19	_(TRANS)_	225	0	0	0	552	0	0	0	95	0	0	winter quest for Stromgard
20	_(TRANS)_	1	0	0	0	428	13	0	0	202	261	0	"Sword Expert, door next to weaponshop (D3)"
21	_(TRANS)_	2	0	0	0	462	13	0	0	246	283	0	Repair expert (E2)
22	_(TRANS)_	3	0	0	400	437	13	0	0	222	271	0	"Plate expert, 4 buildings south of Ironfist (D3)"
23	_(TRANS)_	4	0	0	0	299	14	0	0	223	0	0	Plate Master (C2)
24	_(TRANS)_	5	0	800	0	407	14	0	0	259	0	0	Learning master (D1)
25	_(TRANS)_	6	0	0	0	268	77	0	1	0	0	0	child
26	_(TRANS)_	7	0	0	0	335	14	0	0	221	0	0	chain master (C3)
27	_(TRANS)_	8	0	0	400	436	13	0	0	220	270	0	"chain expert, 4 buildings south of Ironfist (D3)"
28	_(TRANS)_	9	0	0	0	0	77	0	1	0	0	0	child
29	_(TRANS)_	10	0	800	0	397	13	0	0	245	289	0	merchant master (D1)
30	_(TRANS)_	11	0	0	0	260	14	1	1	0	0	0	instructor
31	_(TRANS)_	12	0	0	200	460	13	0	0	200	260	0	staff expert (E2)
