															
															
#	Fire Spells		Res	Short Name	A	X	M	Spell Description	Normal	Expert	Master				
1	1	_(TRANS)_	none	_(TRANS)_	1	1	1	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
2	2	_(TRANS)_	Fire	_(TRANS)_	2	1	0	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
3	3	_(TRANS)_	none	_(TRANS)_	3	3	3	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
4	4	_(TRANS)_	Fire	_(TRANS)_	4	4	4	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
5	5	_(TRANS)_	none	_(TRANS)_	5	5	5	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
6	6	_(TRANS)_	Fire	_(TRANS)_	8	8	8	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
7	7	_(TRANS)_	Fire	_(TRANS)_	10	10	10	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
8	8	_(TRANS)_	Fire	_(TRANS)_	15	15	15	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
9	9	_(TRANS)_	Fire	_(TRANS)_	20	20	20	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
10	10	_(TRANS)_	Fire	_(TRANS)_	25	25	25	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
11	11	_(TRANS)_	Fire	_(TRANS)_	30	30	30	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
	Air Spells		Res					Spell Description							
12	1	_(TRANS)_	none	_(TRANS)_	1	1	1	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
13	2	_(TRANS)_	Elec	_(TRANS)_	2	1	0	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
14	3	_(TRANS)_	none	_(TRANS)_	3	3	3	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
15	4	_(TRANS)_	Elec	_(TRANS)_	4	4	4	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
16	5	_(TRANS)_	none	_(TRANS)_	5	5	5	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
17	6	_(TRANS)_	none	_(TRANS)_	8	8	8	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
18	7	_(TRANS)_	Elec	_(TRANS)_	10	10	10	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
19	8	_(TRANS)_	none	_(TRANS)_	15	15	15	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
20	9	_(TRANS)_	Phys	_(TRANS)_	20	20	20	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
21	10	_(TRANS)_	none	_(TRANS)_	25	25	25	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
22	11	_(TRANS)_	Elec	_(TRANS)_	30	30	30	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
	Water Spells		Res					Spell Description							
23	1	_(TRANS)_	none	_(TRANS)_	1	1	1	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
24	2	_(TRANS)_	Cold	_(TRANS)_	2	1	0	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
25	3	_(TRANS)_	none	_(TRANS)_	3	3	3	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
26	4	_(TRANS)_	Pois	_(TRANS)_	4	4	4	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
27	5	_(TRANS)_	none	_(TRANS)_	5	5	5	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
28	6	_(TRANS)_	Cold	_(TRANS)_	8	8	8	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
29	7	_(TRANS)_	none	_(TRANS)_	10	10	10	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
30	8	_(TRANS)_	Pois	_(TRANS)_	15	15	15	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
31	9	_(TRANS)_	none	_(TRANS)_	20	20	20	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
32	10	_(TRANS)_	Cold	_(TRANS)_	25	25	25	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
33	11	_(TRANS)_	none	_(TRANS)_	30	30	30	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
	Earth Spells		Res					Spell Description							
34	1	_(TRANS)_	Magic	_(TRANS)_	1	1	1	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
35	2	_(TRANS)_	Phys	_(TRANS)_	2	1	0	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
36	3	_(TRANS)_	none	_(TRANS)_	3	3	3	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
37	4	_(TRANS)_	Phys	_(TRANS)_	4	4	4	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
38	5	_(TRANS)_	none	_(TRANS)_	5	5	5	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_				
