Text Number From NPC Events.Doc		Notes
#	Topic	
1	_(TRANS)_	
2	_(TRANS)_	
3	_(TRANS)_	
4	_(TRANS)_	
5	_(TRANS)_	
6	_(TRANS)_	
7	_(TRANS)_	
8	_(TRANS)_	
9	_(TRANS)_	
10	_(TRANS)_	
11	_(TRANS)_	
12	_(TRANS)_	Need text for speaking with Wilbur Humphrey before talking to the traitor.
13	_(TRANS)_	
14	_(TRANS)_	
15	_(TRANS)_	
16	_(TRANS)_	
17	_(TRANS)_	
18	_(TRANS)_	
19	_(TRANS)_	
20	Missing Text 20	
21	_(TRANS)_	
22	_(TRANS)_	
23	Missing Text 23	
24	_(TRANS)_	
25	_(TRANS)_	
26	_(TRANS)_	
27	_(TRANS)_	
28	_(TRANS)_	What should we do with the Archibald statue and the release method?
29	_(TRANS)_	
30	_(TRANS)_	
31	_(TRANS)_	
32	_(TRANS)_	
33	_(TRANS)_	
34	_(TRANS)_	
35	_(TRANS)_	
36	_(TRANS)_	
37	_(TRANS)_	
38	_(TRANS)_	
39	_(TRANS)_	
40	_(TRANS)_	
41	_(TRANS)_	
42	_(TRANS)_	
43	_(TRANS)_	
44	Put Text Here 44	Shrine event
45	_(TRANS)_	
46	_(TRANS)_	
47	_(TRANS)_	
48	_(TRANS)_	
49	_(TRANS)_	
50	Put Text Here 50	Shrine event
51	_(TRANS)_	
52	_(TRANS)_	
53	_(TRANS)_	Telepathy
54	_(TRANS)_	
55	_(TRANS)_	
56	_(TRANS)_	
57	Put Text Here 57	Fountain event
58	_(TRANS)_	
59	_(TRANS)_	
60	_(TRANS)_	
61	_(TRANS)_	
62	_(TRANS)_	
63	Put Text Here 63	Mini-dungeon event
64	_(TRANS)_	
65	_(TRANS)_	
66	_(TRANS)_	
67	_(TRANS)_	
68	_(TRANS)_	
69	_(TRANS)_	
70	_(TRANS)_	
71	_(TRANS)_	
72	_(TRANS)_	
73	_(TRANS)_	
74	_(TRANS)_	
75	Put Text Here 75	Memory Crystal event
76	_(TRANS)_	
77	_(TRANS)_	
78	_(TRANS)_	
79	_(TRANS)_	
80	_(TRANS)_	
81	_(TRANS)_	
82	_(TRANS)_	
83	_(TRANS)_	
84	_(TRANS)_	
85	_(TRANS)_	
86	_(TRANS)_	
87	_(TRANS)_	
88	_(TRANS)_	
89	_(TRANS)_	
90	_(TRANS)_	
91	_(TRANS)_	
92	_(TRANS)_	
93	_(TRANS)_	
94	_(TRANS)_	
95	_(TRANS)_	
96	_(TRANS)_	
97	_(TRANS)_	
98	_(TRANS)_	
99	_(TRANS)_	
100	_(TRANS)_	
101	_(TRANS)_	
102	_(TRANS)_	
103	_(TRANS)_	
104	_(TRANS)_	
105	_(TRANS)_	
106	_(TRANS)_	
107	_(TRANS)_	
108	_(TRANS)_	
109	_(TRANS)_	
110	_(TRANS)_	
111	_(TRANS)_	
112	_(TRANS)_	
113	_(TRANS)_	
114	_(TRANS)_	
115	_(TRANS)_	
116	_(TRANS)_	
117	_(TRANS)_	
118	_(TRANS)_	
119	_(TRANS)_	
120	_(TRANS)_	
121	_(TRANS)_	
122	_(TRANS)_	
123	_(TRANS)_	
124	_(TRANS)_	
125	_(TRANS)_	
126	_(TRANS)_	
127	_(TRANS)_	
128	_(TRANS)_	
129	_(TRANS)_	
130	_(TRANS)_	
131	_(TRANS)_	
132	_(TRANS)_	
133	_(TRANS)_	
134	_(TRANS)_	
135	_(TRANS)_	
136	_(TRANS)_	
137	_(TRANS)_	
138	_(TRANS)_	
139	_(TRANS)_	
140	_(TRANS)_	
141	_(TRANS)_	
142	_(TRANS)_	
143	_(TRANS)_	
144	_(TRANS)_	
145	_(TRANS)_	
146	_(TRANS)_	
147	_(TRANS)_	
148	_(TRANS)_	
149	_(TRANS)_	
150	_(TRANS)_	
151	_(TRANS)_	
152	_(TRANS)_	
153	_(TRANS)_	
154	_(TRANS)_	
155	_(TRANS)_	
156	_(TRANS)_	
157	_(TRANS)_	
158	_(TRANS)_	
159	_(TRANS)_	
160	_(TRANS)_	
161	_(TRANS)_	
162	_(TRANS)_	
163	_(TRANS)_	
164	_(TRANS)_	
165	_(TRANS)_	
166	_(TRANS)_	
167	_(TRANS)_	
168	_(TRANS)_	
169	_(TRANS)_	
170	_(TRANS)_	
171	_(TRANS)_	
172	_(TRANS)_	
173	_(TRANS)_	
174	_(TRANS)_	
175	_(TRANS)_	
176	_(TRANS)_	
177	_(TRANS)_	
178	_(TRANS)_	
179	_(TRANS)_	
180	_(TRANS)_	
181	_(TRANS)_	
182	_(TRANS)_	
183	_(TRANS)_	
184	_(TRANS)_	
185	_(TRANS)_	
186	_(TRANS)_	
187	_(TRANS)_	
188	_(TRANS)_	
189	_(TRANS)_	
190	_(TRANS)_	
191	_(TRANS)_	
192	_(TRANS)_	
193	_(TRANS)_	
194	_(TRANS)_	
195	_(TRANS)_	
196	_(TRANS)_	
197	_(TRANS)_	
198	_(TRANS)_	
199	_(TRANS)_	
200	_(TRANS)_	Expert staff training
201	_(TRANS)_	Master staff training
202	_(TRANS)_	Expert sword training
203	_(TRANS)_	Master sword training
204	_(TRANS)_	Expert dagger training
205	_(TRANS)_	Master dagger training
206	_(TRANS)_	Expert Axe training
207	_(TRANS)_	Master axe training
208	_(TRANS)_	Expert spear training
209	_(TRANS)_	Master spear training
210	_(TRANS)_	Expert bow training
211	_(TRANS)_	Master bow training
212	_(TRANS)_	Expert mace training
213	_(TRANS)_	Master mace training
214	_(TRANS)_	Expert blaster training
215	_(TRANS)_	Master Blasters
216	_(TRANS)_	Expert shield training
217	_(TRANS)_	Master shield training
218	_(TRANS)_	Expert leather training
219	_(TRANS)_	Master leather training
220	_(TRANS)_	Expert chain armor training
221	_(TRANS)_	Master chain armor training
222	_(TRANS)_	Expert plate armor training
223	_(TRANS)_	Master plate armor training
224	_(TRANS)_	Expert Fire magic training
225	_(TRANS)_	Master Fire magic training
226	_(TRANS)_	Expert Air magic training
227	_(TRANS)_	Master Air magic training
228	_(TRANS)_	Expert water magic training
229	_(TRANS)_	Master water magic training
230	_(TRANS)_	Expert earth magic training
231	_(TRANS)_	Master earth magic training
232	_(TRANS)_	Expert spirit magic training
233	_(TRANS)_	Master spirit magic training
234	_(TRANS)_	Expert mind magic training
235	_(TRANS)_	Master mind magic training
236	_(TRANS)_	Expert body magic training
237	_(TRANS)_	Master body magic training
238	_(TRANS)_	Expert light magic training
239	_(TRANS)_	Master light magic training
240	_(TRANS)_	Expert dark magic training
241	_(TRANS)_	Master dark magic training
242	_(TRANS)_	Expert identify item training
243	_(TRANS)_	Master identify item training
244	_(TRANS)_	Expert merchant training
245	_(TRANS)_	Master merchant training
246	_(TRANS)_	Expert repair training
247	_(TRANS)_	Master repair training
248	_(TRANS)_	Expert body building training
249	_(TRANS)_	Master body building training
250	_(TRANS)_	Expert meditation training
251	_(TRANS)_	Master meditation training
252	_(TRANS)_	Expert perception training
253	_(TRANS)_	Master perception training
254	_(TRANS)_	Expert diplomacy training
255	_(TRANS)_	Master diplomacy training
256	_(TRANS)_	Expert disarm traps training
