						
	NPC	Join				
#	Professions	Cost/w	Action Text	In Party Benefit	Join Text	Dismiss Text
						
1	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
2	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
3	_(TRANS)_	400		_(TRANS)_	_(TRANS)_	_(TRANS)_
4	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
5	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
6	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
7	_(TRANS)_	300		_(TRANS)_	_(TRANS)_	_(TRANS)_
8	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
9	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
10	_(TRANS)_	500	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
11	_(TRANS)_	2000	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
12	_(TRANS)_	5000	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
13	_(TRANS)_	300		_(TRANS)_	_(TRANS)_	_(TRANS)_
14	_(TRANS)_	700		_(TRANS)_	_(TRANS)_	_(TRANS)_
15	_(TRANS)_	300		_(TRANS)_	_(TRANS)_	_(TRANS)_
16	_(TRANS)_	400		_(TRANS)_	_(TRANS)_	_(TRANS)_
17	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
18	_(TRANS)_	1000		_(TRANS)_	_(TRANS)_	_(TRANS)_
19	_(TRANS)_	2000		_(TRANS)_	_(TRANS)_	_(TRANS)_
20	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
21	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
22	_(TRANS)_	300		_(TRANS)_	_(TRANS)_	_(TRANS)_
23	_(TRANS)_	400		_(TRANS)_	_(TRANS)_	_(TRANS)_
24	_(TRANS)_	600		_(TRANS)_	_(TRANS)_	_(TRANS)_
25	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
26	_(TRANS)_	300		_(TRANS)_	_(TRANS)_	_(TRANS)_
27	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
28	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
29	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
30	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
31	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
32	_(TRANS)_	1000		_(TRANS)_	_(TRANS)_	_(TRANS)_
33	_(TRANS)_	300	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
34	_(TRANS)_	400	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
35	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
36	_(TRANS)_	1000		_(TRANS)_	_(TRANS)_	_(TRANS)_
37	_(TRANS)_	1000		_(TRANS)_	_(TRANS)_	_(TRANS)_
38	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
39	_(TRANS)_	2000	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
40	_(TRANS)_	1000	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
41	_(TRANS)_	2000	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
42	_(TRANS)_	200	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
43	_(TRANS)_	300	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
44	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
45	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
46	_(TRANS)_	600		_(TRANS)_	_(TRANS)_	_(TRANS)_
47	_(TRANS)_	400		_(TRANS)_	_(TRANS)_	_(TRANS)_
48	_(TRANS)_	100		_(TRANS)_	_(TRANS)_	_(TRANS)_
49	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
50	_(TRANS)_	200		_(TRANS)_	_(TRANS)_	_(TRANS)_
51	_(TRANS)_	2000		_(TRANS)_	_(TRANS)_	_(TRANS)_
52	_(TRANS)_	2500	_(TRANS)_	_(TRANS)_	_(TRANS)_	_(TRANS)_
53	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
54	_(TRANS)_	1000		_(TRANS)_	_(TRANS)_	_(TRANS)_
55	_(TRANS)_	2000		_(TRANS)_	_(TRANS)_	_(TRANS)_
56	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
57	_(TRANS)_	750		_(TRANS)_	_(TRANS)_	_(TRANS)_
58	_(TRANS)_	500		_(TRANS)_	_(TRANS)_	_(TRANS)_
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
