"1-199 equipable items, 200- potions, 300- scrolls, 400-books, 500- artifacts, 600 quest items 700- message scrolls "																
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
0		0						0	0		0	0	0	0	0	
1	item001	_(TRANS)_	50	Weapon	Sword	3d3	0	8	1	_(TRANS)_	1	0	0	14	131	_(TRANS)_
2	item002	_(TRANS)_	200	Weapon	Sword	3d3	3	8	3	_(TRANS)_	1	0	0	16	132	_(TRANS)_
3	item003	_(TRANS)_	350	Weapon	Sword	3d3	6	8	6	_(TRANS)_	1	0	0	14	136	_(TRANS)_
4	item004	_(TRANS)_	500	Weapon	Sword	3d3	9	8	9	_(TRANS)_	1	0	0	14	136	_(TRANS)_
5	item005	_(TRANS)_	650	Weapon	Sword	3d3	12	8	12	_(TRANS)_	1	0	0	18	138	_(TRANS)_
6	item006	_(TRANS)_	400	Weapon2	Sword	4d5	0	8	1	_(TRANS)_	2	0	0	16	162	_(TRANS)_
7	item007	_(TRANS)_	500	Weapon2	Sword	4d5	2	8	4	_(TRANS)_	2	0	0	18	155	_(TRANS)_
8	item008	_(TRANS)_	800	Weapon2	Sword	4d5	6	8	7	_(TRANS)_	2	0	0	20	169	_(TRANS)_
9	item009	_(TRANS)_	1250	Weapon2	Sword	4d5	9	8	9	_(TRANS)_	2	0	0	21	171	_(TRANS)_
10	item010	_(TRANS)_	2000	Weapon2	Sword	4d5	12	8	13	_(TRANS)_	2	0	0	17	171	_(TRANS)_
11	item011	_(TRANS)_	100	Weapon	Sword	3d4	0	8	1	_(TRANS)_	3	0	0	21	132	_(TRANS)_
12	item012	_(TRANS)_	300	Weapon	Sword	3d4	2	8	4	_(TRANS)_	3	0	0	19	138	_(TRANS)_
13	item013	_(TRANS)_	600	Weapon	Sword	3d4	6	8	7	_(TRANS)_	3	0	0	14	129	_(TRANS)_
14	item014	_(TRANS)_	800	Weapon	Sword	3d4	9	8	9	_(TRANS)_	3	0	0	12	131	_(TRANS)_
15	item015	_(TRANS)_	1100	Weapon	Sword	3d4	12	8	13	_(TRANS)_	3	0	0	20	145	_(TRANS)_
16	item016	_(TRANS)_	40	Weapon	Sword	2d4	0	7	1	_(TRANS)_	4	0	0	19	133	_(TRANS)_
17	item017	_(TRANS)_	290	Weapon	Sword	2d4	2	7	3	_(TRANS)_	4	0	0	20	134	_(TRANS)_
18	item018	_(TRANS)_	590	Weapon	Sword	2d4	6	7	5	_(TRANS)_	4	0	0	19	140	_(TRANS)_
19	item019	_(TRANS)_	750	Weapon	Sword	2d4	8	7	9	_(TRANS)_	4	0	0	18	143	_(TRANS)_
20	item020	_(TRANS)_	1100	Weapon	Sword	2d4	11	7	12	_(TRANS)_	4	0	0	25	136	_(TRANS)_
21	item021	_(TRANS)_	8	Weapon	Dagger	2d2	0	6	1	_(TRANS)_	5	0	0	16	77	_(TRANS)_
22	item022	_(TRANS)_	100	Weapon	Dagger	2d2	2	6	2	_(TRANS)_	5	0	0	12	75	_(TRANS)_
23	item023	_(TRANS)_	150	Weapon	Dagger	2d2	3	6	4	_(TRANS)_	5	0	0	14	80	_(TRANS)_
24	item024	_(TRANS)_	250	Weapon	Dagger	2d2	5	6	6	_(TRANS)_	5	0	0	19	80	_(TRANS)_
25	item025	_(TRANS)_	300	Weapon	Dagger	2d2	6	6	9	_(TRANS)_	5	0	0	20	45	_(TRANS)_
26	item026	_(TRANS)_	15	Weapon	Dagger	2d3	0	7	1	_(TRANS)_	6	0	0	15	102	_(TRANS)_
27	item027	_(TRANS)_	200	Weapon	Dagger	2d3	2	7	4	_(TRANS)_	6	0	0	14	105	_(TRANS)_
28	item028	_(TRANS)_	350	Weapon	Dagger	2d3	4	7	7	_(TRANS)_	6	0	0	13	103	_(TRANS)_
29	item030	_(TRANS)_	500	Weapon	Dagger	2d3	6	7	9	_(TRANS)_	6	0	0	20	106	_(TRANS)_
30	item029	_(TRANS)_	790	Weapon	Dagger	2d3	7	7	12	_(TRANS)_	6	0	0	19	103	_(TRANS)_
31	item031	_(TRANS)_	30	Weapon	Axe	4d2	0	5	1	_(TRANS)_	7	0	0	30	84	_(TRANS)_
32	item032	_(TRANS)_	100	Weapon	Axe	4d2	2	5	2	_(TRANS)_	7	0	0	28	86	_(TRANS)_
33	item033	_(TRANS)_	250	Weapon	Axe	4d2	5	5	4	_(TRANS)_	7	0	0	27	96	_(TRANS)_
34	item034	_(TRANS)_	550	Weapon	Axe	4d2	8	5	6	_(TRANS)_	7	0	0	37	110	_(TRANS)_
35	item035	_(TRANS)_	775	Weapon	Axe	4d2	11	5	9	_(TRANS)_	7	0	0	41	110	_(TRANS)_
36	item036	_(TRANS)_	225	Weapon2	Axe	3d7	0	6	1	_(TRANS)_	8	0	0	40	92	_(TRANS)_
37	item038	_(TRANS)_	450	Weapon2	Axe	3d7	2	6	4	_(TRANS)_	8	0	0	42	106	_(TRANS)_
38	item037	_(TRANS)_	900	Weapon2	Axe	3d7	5	6	7	_(TRANS)_	8	0	0	48	87	_(TRANS)_
39	item039	_(TRANS)_	1250	Weapon2	Axe	3d7	9	6	9	_(TRANS)_	8	0	0	46	103	_(TRANS)_
40	item040	_(TRANS)_	1500	Weapon2	Axe	3d7	12	6	13	_(TRANS)_	8	0	0	42	112	_(TRANS)_
41	item041	_(TRANS)_	15	Weapon1or2	Spear	1d9	0	6	1	_(TRANS)_	9	0	0	17	116	_(TRANS)_
