	Placed Monster Names
1	_(TRANS)_
2	_(TRANS)_
3	_(TRANS)_
4	_(TRANS)_
5	_(TRANS)_
6	_(TRANS)_
7	_(TRANS)_
8	_(TRANS)_
9	_(TRANS)_
10	_(TRANS)_
11	_(TRANS)_
12	_(TRANS)_
13	_(TRANS)_
14	_(TRANS)_
15	_(TRANS)_
16	_(TRANS)_
17	_(TRANS)_
18	_(TRANS)_
19	_(TRANS)_
20	_(TRANS)_
21	_(TRANS)_
22	_(TRANS)_
23	_(TRANS)_
24	_(TRANS)_
25	_(TRANS)_
26	_(TRANS)_
27	_(TRANS)_
28	_(TRANS)_
29	_(TRANS)_
30	_(TRANS)_
31	_(TRANS)_
32	_(TRANS)_
33	_(TRANS)_
34	_(TRANS)_
35	_(TRANS)_
36	_(TRANS)_
37	_(TRANS)_
38	_(TRANS)_
39	_(TRANS)_
40	_(TRANS)_
41	_(TRANS)_
42	_(TRANS)_
43	_(TRANS)_
44	_(TRANS)_
45	_(TRANS)_
46	_(TRANS)_
47	_(TRANS)_
48	_(TRANS)_
49	_(TRANS)_
50	_(TRANS)_
51	_(TRANS)_
52	_(TRANS)_
53	_(TRANS)_
54	_(TRANS)_
55	_(TRANS)_
56	_(TRANS)_
57	_(TRANS)_
58	_(TRANS)_
59	_(TRANS)_
60	_(TRANS)_
61	_(TRANS)_
62	_(TRANS)_
63	_(TRANS)_
64	_(TRANS)_
65	_(TRANS)_
66	_(TRANS)_
67	_(TRANS)_
68	_(TRANS)_
69	_(TRANS)_
70	_(TRANS)_
71	_(TRANS)_
72	_(TRANS)_
73	_(TRANS)_
74	_(TRANS)_
75	_(TRANS)_
76	_(TRANS)_
77	_(TRANS)_
78	_(TRANS)_
79	_(TRANS)_
80	_(TRANS)_
81	_(TRANS)_
82	_(TRANS)_
83	_(TRANS)_
84	_(TRANS)_
85	_(TRANS)_
86	_(TRANS)_
87	_(TRANS)_
88	_(TRANS)_
89	_(TRANS)_
90	_(TRANS)_
91	_(TRANS)_
92	_(TRANS)_
93	_(TRANS)_
94	_(TRANS)_
95	_(TRANS)_
96	_(TRANS)_
97	_(TRANS)_
98	_(TRANS)_
99	_(TRANS)_
100	_(TRANS)_
101	_(TRANS)_
102	_(TRANS)_
103	_(TRANS)_
104	_(TRANS)_
105	_(TRANS)_
106	_(TRANS)_
107	_(TRANS)_
108	_(TRANS)_
109	_(TRANS)_
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0														
129	0														
130	0														
