Note bit	Autonote Text	Category		
1	_(TRANS)_	Misc		
2	_(TRANS)_	Misc		
3	_(TRANS)_	Misc		
4	_(TRANS)_	Misc		
5	_(TRANS)_	Misc		
6	_(TRANS)_	Misc		
7	_(TRANS)_	Misc		
8	_(TRANS)_	Obelisk		
9	_(TRANS)_	Obelisk		
10	_(TRANS)_	Obelisk		
11	_(TRANS)_	Obelisk		
12	_(TRANS)_	Obelisk		
13	_(TRANS)_	Obelisk		
14	_(TRANS)_	Obelisk		
15	_(TRANS)_	Obelisk		
16	_(TRANS)_	Obelisk		
17	_(TRANS)_	Misc		
18	_(TRANS)_	Misc		
19	_(TRANS)_	Misc		
20	_(TRANS)_	Misc		
21	_(TRANS)_	Misc		
22	_(TRANS)_	Misc		
23	_(TRANS)_	Misc		
24	_(TRANS)_	Misc		
25	_(TRANS)_	Misc		
26	_(TRANS)_	Misc		
27	_(TRANS)_	Misc		
28	_(TRANS)_	potion		
29	_(TRANS)_	potion		
30	_(TRANS)_	potion		
31	_(TRANS)_	potion		
32	_(TRANS)_	potion		
33	_(TRANS)_	potion		
34	_(TRANS)_	potion		
35	_(TRANS)_	potion		
36	_(TRANS)_	potion		
37	_(TRANS)_	potion		
38	_(TRANS)_	potion		
39	_(TRANS)_	potion		
40	_(TRANS)_	potion		
41	_(TRANS)_	potion		
42	_(TRANS)_	potion		
43	_(TRANS)_	potion		
44	_(TRANS)_	potion		
45	_(TRANS)_	potion		
46	_(TRANS)_	potion		
47	_(TRANS)_	potion		
48	_(TRANS)_	potion		
49	_(TRANS)_	potion		
50	_(TRANS)_	potion		
51	_(TRANS)_	potion		
52	_(TRANS)_	potion		
53	_(TRANS)_	potion		
54	_(TRANS)_	potion		
55	_(TRANS)_	potion		
56	_(TRANS)_	potion		
57	_(TRANS)_	potion		
58	_(TRANS)_	potion		
59	_(TRANS)_	potion		
60	_(TRANS)_	potion		
61	_(TRANS)_	potion		
62	_(TRANS)_	potion		
63	_(TRANS)_	potion		
64	_(TRANS)_	potion		
65	_(TRANS)_	potion		
66	_(TRANS)_	potion		
67	_(TRANS)_	potion		
68	_(TRANS)_	potion		
69	_(TRANS)_	potion		
70	_(TRANS)_	potion		
71	_(TRANS)_	potion		
72	_(TRANS)_	potion		
73	_(TRANS)_	potion		
74	_(TRANS)_	potion		
75	_(TRANS)_	potion		
76	_(TRANS)_	potion		
77	_(TRANS)_	potion		
78	_(TRANS)_	potion		
79	_(TRANS)_	potion		
80	_(TRANS)_	potion		
81	_(TRANS)_	potion		
82	_(TRANS)_	potion		
83	_(TRANS)_	potion		
84	_(TRANS)_	potion		
85	_(TRANS)_	potion		
86	_(TRANS)_	potion		
87	_(TRANS)_	potion		
88	_(TRANS)_	potion		
89	_(TRANS)_	teacher		
90	_(TRANS)_	teacher		
91	_(TRANS)_	teacher		
92	_(TRANS)_	teacher		
93	_(TRANS)_	teacher		
94	_(TRANS)_	teacher		
95	_(TRANS)_	teacher		
96	_(TRANS)_	teacher		
97	_(TRANS)_	teacher		
98	_(TRANS)_	teacher		
99	_(TRANS)_	teacher		
