A Bit	Awards	Sort	Notes
1	_(TRANS)_	2	
2	_(TRANS)_	3	
3	_(TRANS)_	2	
4	_(TRANS)_	2	
5	_(TRANS)_	1	
6	_(TRANS)_	2	
7	_(TRANS)_	1	
8	_(TRANS)_	1	
9	_(TRANS)_	1	
10	_(TRANS)_	1	
11	_(TRANS)_	1	
12	_(TRANS)_	1	
13	_(TRANS)_	1	
14	_(TRANS)_	1	
15	_(TRANS)_	1	
16	_(TRANS)_	1	
17	_(TRANS)_	1	
18	_(TRANS)_	3	
19	_(TRANS)_	2	
20	_(TRANS)_	2	
21	_(TRANS)_	2	
22	_(TRANS)_	2	
23	_(TRANS)_	3	
24	_(TRANS)_	2	
25	_(TRANS)_	2	
26	_(TRANS)_	2	
27	_(TRANS)_	2	
28	_(TRANS)_	2	
29	_(TRANS)_	2	
30	_(TRANS)_	3	
31	_(TRANS)_	2	
32	_(TRANS)_	3	
33	_(TRANS)_	2	
34	_(TRANS)_	3	
35	_(TRANS)_	2	
36	_(TRANS)_	4	
37	_(TRANS)_	4	
38	_(TRANS)_	3	
39	_(TRANS)_	3	
40	_(TRANS)_	3	
41	_(TRANS)_	4	
42	_(TRANS)_	3	
43	_(TRANS)_	5	
44	_(TRANS)_	5	
45	_(TRANS)_	5	
46	_(TRANS)_	5	
47	_(TRANS)_	5	
48	_(TRANS)_	5	
49	_(TRANS)_	5	
50	_(TRANS)_	3	
51	_(TRANS)_	3	
52	_(TRANS)_	3	
53	_(TRANS)_	3	
54	_(TRANS)_	3	
55	_(TRANS)_	3	
56	_(TRANS)_	1	
57	_(TRANS)_	1	
58	_(TRANS)_	1	
59	_(TRANS)_	1	
60	_(TRANS)_	1	
61	_(TRANS)_	1	
62	_(TRANS)_	1	
63	_(TRANS)_	1	
64	_(TRANS)_	4	
65	_(TRANS)_	4	
66	_(TRANS)_	4	
67	_(TRANS)_	4	
68	_(TRANS)_	4	
69	_(TRANS)_	4	
70	_(TRANS)_	4	
71	_(TRANS)_	4	
72	_(TRANS)_	4	
73	_(TRANS)_	4	
74	_(TRANS)_	4	
75	_(TRANS)_	1	
76	_(TRANS)_	1	
77	_(TRANS)_	1	
78	_(TRANS)_	1	
79	_(TRANS)_	1	
80	_(TRANS)_	1	
81	_(TRANS)_	1	
82	_(TRANS)_	1	
83	_(TRANS)_	1	
84	_(TRANS)_	1	
85	_(TRANS)_	1	
86	_(TRANS)_	1	
87	_(TRANS)_	1	
88	_(TRANS)_	1	
89	_(TRANS)_	1	
90	_(TRANS)_	1	
91	_(TRANS)_	1	
92	_(TRANS)_	1	
93	_(TRANS)_	1	
94	_(TRANS)_	1	
95	_(TRANS)_	1	
96	_(TRANS)_	1	
97	_(TRANS)_	1	
98	_(TRANS)_	1	
99	_(TRANS)_	1	
100	_(TRANS)_	1	
101	_(TRANS)_	1	
102	_(TRANS)_	1	
103	_(TRANS)_	1	
104	_(TRANS)_	1	
